"year","name","team_id","bat_side","total_pa","pa_shifts","pa_shift_percent","woba_shift","pa_non_shifts","pa_non_shift_percent","woba_non_shift"
2017,"Pujols, Albert",108,"R",629,226,"35.9",".261",403,"64.1",".299"
2017,"Trout, Mike",108,"R",490,40,"8.2",".456",450,"91.8",".434"
2017,"Valbuena, Luis",108,"L",400,230,"57.5",".321",170,"42.5",".292"
2017,"Calhoun, Kole",108,"L",646,291,"45.0",".307",355,"55.0",".315"
2017,"Peralta, David",109,"L",572,76,"13.3",".421",496,"86.7",".331"
2017,"Herrmann, Chris",109,"L",254,70,"27.6",".290",184,"72.4",".268"
2017,"Martinez, J.D.",109,"R",478,51,"10.7",".496",427,"89.3",".421"
2017,"Lamb, Jake",109,"L",615,232,"37.7",".335",383,"62.3",".357"
2017,"Freeman, Freddie",144,"L",495,277,"56.0",".426",218,"44.0",".384"
2017,"Kemp, Matt",144,"R",457,55,"12.0",".315",402,"88.0",".331"
2017,"Adams, Matt",144,"L",359,118,"32.9",".386",241,"67.1",".331"
2017,"Machado, Manny",110,"R",686,43,"6.3",".204",643,"93.7",".336"
2017,"Davis, Chris",110,"L",518,486,"93.8",".303",32,"6.2",".435"
2017,"Schoop, Jonathan",110,"R",674,36,"5.3",".260",638,"94.7",".359"
2017,"Jones, Adam",110,"R",632,38,"6.0",".432",594,"94.0",".327"
2017,"Trumbo, Mark",110,"R",601,66,"11.0",".333",535,"89.0",".291"
2017,"Castillo, Welington",110,"R",363,58,"16.0",".282",305,"84.0",".358"
2017,"Smith, Seth",110,"L",369,263,"71.3",".326",106,"28.7",".350"
2017,"Young, Chris",111,"R",274,96,"35.0",".339",178,"65.0",".298"
2017,"Moreland, Mitch",111,"L",569,438,"77.0",".331",131,"23.0",".311"
2017,"Bradley Jr., Jackie",111,"L",536,180,"33.6",".284",356,"66.4",".328"
2017,"Benintendi, Andrew",111,"L",651,55,"8.4",".233",596,"91.6",".341"
2017,"León, Sandy",111,"L",219,65,"29.7",".175",154,"70.3",".304"
2017,"Rizzo, Anthony",112,"L",679,408,"60.1",".344",271,"39.9",".435"
