"last_name, first_name",player_id,year,player_age,ab,pa,hit,single,double,triple,home_run,strikeout,walk,k_percent,bb_percent,batting_avg,slg_percent,on_base_percent,on_base_plus_slg,isolated_power,babip,b_rbi,xba,xslg,woba,xwoba,xobp,xiso,avg_swing_speed,fast_swing_rate,blasts_contact,blasts_swing,squared_up_contact,squared_up_swing,avg_swing_length,swords,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate,solidcontact_percent,flareburner_percent,poorlyunder_percent,poorlytopped_percent,poorlyweak_percent,hard_hit_percent,whiff_percent,pull_percent,straightaway_percent,opposite_percent,groundballs_percent,flyballs_percent,linedrives_percent,popups_percent,sprint_speed,cluster,Archetype,bat_side,shift_rate,extreme_shift
cabreramiguel,408234,2015,32,429,511,145,98,28,1,18,82,77,16.0,15.1,0.338,0.534,0.44,0.974,0.196,0.384,76,0.323,0.595,0.413,0.432,0.431,0.271,,,,,,,,,93.8,12.2,35.8,10.6,8.9,28.9,19.2,28.7,1.7,53.3,23.1,33.5,34.1,32.1,43.3,24.9,27.5,4.3,24.2,1,Fly-Ball Sluggers,R,2.6,0
peraltadavid,444482,2015,27,462,517,144,91,26,10,17,107,44,20.7,8.5,0.312,0.522,0.371,0.893,0.21,0.368,78,0.281,0.457,0.38,0.355,0.35,0.176,,,,,,,,,91.6,6.7,35.4,8.0,6.1,26.8,15.2,40.1,1.4,43.4,24.5,38.4,40.9,20.7,53.0,13.0,30.9,3.0,27.6,0,Contact & Speed Grinders,L,31.2,0
blackmoncharlie,453568,2015,28,614,682,176,119,31,9,17,112,46,16.4,6.7,0.287,0.45,0.347,0.797,0.163,0.325,58,0.26,0.39,0.345,0.318,0.326,0.13,,,,,,,,,86.8,15.0,35.4,3.7,6.8,26.2,25.0,29.0,3.7,29.0,16.0,42.5,35.6,21.9,40.3,18.4,33.1,8.2,27.9,1,Fly-Ball Sluggers,L,1.8,0
maldonadomartín,455117,2015,28,229,256,48,37,7,0,4,65,23,25.4,9.0,0.21,0.293,0.282,0.575,0.083,0.272,22,0.185,0.271,0.254,0.24,0.262,0.086,,,,,,,,,87.5,10.8,24.6,2.4,4.8,23.4,26.3,36.5,5.4,30.5,25.4,38.9,36.5,24.0,48.5,17.4,24.6,9.6,25.0,2,Power-Contact Hitters,R,4.1,0
mccutchenandrew,457705,2015,28,566,685,165,103,36,3,23,133,98,19.4,14.3,0.292,0.488,0.401,0.889,0.196,0.339,96,0.287,0.523,0.38,0.399,0.402,0.236,,,,,,,,,90.6,13.9,41.0,9.3,9.5,25.6,22.9,30.3,1.8,44.6,26.1,36.7,40.3,23.1,38.7,23.8,32.8,4.8,28.5,1,Fly-Ball Sluggers,R,21.8,0
turnerjustin,457759,2015,30,385,439,113,70,26,1,16,71,36,16.2,8.2,0.294,0.491,0.37,0.861,0.197,0.321,60,0.287,0.481,0.371,0.369,0.366,0.194,,,,,,,,,89.5,14.0,40.8,7.2,7.5,28.2,25.1,28.5,1.9,37.9,17.8,36.4,38.6,24.5,37.3,22.3,35.1,5.3,26.1,1,Fly-Ball Sluggers,R,1.3,0
andruselvis,462101,2015,26,596,661,154,111,34,2,7,78,46,11.8,7.0,0.258,0.357,0.309,0.666,0.099,0.283,62,0.249,0.336,0.292,0.288,0.306,0.087,,,,,,,,,87.3,10.1,28.0,1.5,2.6,25.8,25.0,37.0,2.6,27.1,14.8,39.8,34.4,25.6,49.9,16.8,25.2,8.0,27.7,0,Contact & Speed Grinders,R,0.5,0
santanacarlos,467793,2015,29,550,666,127,77,29,2,19,122,108,18.3,16.2,0.231,0.395,0.357,0.752,0.164,0.261,85,0.24,0.407,0.331,0.345,0.368,0.167,,,,,,,,,89.2,12.4,27.9,7.2,4.6,21.9,26.6,34.9,3.7,39.7,19.4,49.4,33.3,17.3,46.0,20.3,22.6,11.1,25.5,1,Fly-Ball Sluggers,L,66.5,1
beltbrandon,474832,2015,27,492,556,138,82,33,5,18,147,56,26.4,10.1,0.28,0.478,0.356,0.834,0.198,0.363,68,0.274,0.507,0.359,0.373,0.354,0.233,,,,,,,,,89.8,16.1,46.4,10.0,10.0,29.5,20.6,22.1,2.6,41.8,28.2,36.1,36.1,27.8,33.8,22.6,40.4,3.2,26.7,1,Fly-Ball Sluggers,L,64.1,1
escobareduardo,500871,2015,26,409,446,107,60,31,4,12,86,28,19.3,6.3,0.262,0.445,0.309,0.754,0.183,0.301,58,0.243,0.4,0.323,0.304,0.293,0.157,,,,,,,,,86.5,14.0,34.2,6.1,4.5,22.1,28.8,33.0,3.6,23.9,21.7,37.6,37.9,24.2,42.4,27.0,24.2,6.4,27.4,2,Power-Contact Hitters,R,3.5,0
