"year","name","team_id","bat_side","total_pa","pa_shifts","pa_shift_percent","woba_shift","pa_non_shifts","pa_non_shift_percent","woba_non_shift"
2016,"Pujols, Albert",108,"R",610,228,"37.4",".274",382,"62.6",".351"
2016,"Trout, Mike",108,"R",632,84,"13.3",".377",548,"86.7",".426"
2016,"Pennington, Cliff",108,"L",157,36,"22.9",".268",121,"77.1",".280"
2016,"Bandy, Jett",108,"R",225,34,"15.1",".372",191,"84.9",".278"
2016,"Calhoun, Kole",108,"L",644,259,"40.2",".357",385,"59.8",".320"
2016,"Herrmann, Chris",109,"L",157,54,"34.4",".354",103,"65.6",".376"
2016,"Castillo, Welington",109,"R",443,35,"7.9",".434",408,"92.1",".302"
2016,"Lamb, Jake",109,"L",572,259,"45.3",".360",313,"54.7",".338"
2016,"Peralta, David",109,"L",173,54,"31.2",".280",119,"68.8",".293"
2016,"Pierzynski, A.J.",144,"L",255,62,"24.3",".237",193,"75.7",".234"
2016,"Freeman, Freddie",144,"L",655,373,"56.9",".385",282,"43.1",".419"
2016,"Kemp, Matt",144,"R",653,210,"32.2",".306",443,"67.8",".346"
2016,"Schoop, Jonathan",110,"R",626,30,"4.8",".451",596,"95.2",".311"
2016,"Alvarez, Pedro",110,"L",359,264,"73.5",".372",95,"26.5",".291"
2016,"Wieters, Matt",110,"L",330,147,"44.5",".336",183,"55.5",".284"
2016,"Trumbo, Mark",110,"R",638,33,"5.2",".449",605,"94.8",".353"
2016,"Kim, Hyun Soo",110,"L",338,61,"18.0",".465",277,"82.0",".317"
2016,"Davis, Chris",110,"L",641,591,"92.2",".342",50,"7.8",".319"
2016,"Pearce, Steve",110,"R",293,68,"23.2",".493",225,"76.8",".341"
2016,"Bradley Jr., Jackie",111,"L",619,189,"30.5",".368",430,"69.5",".346"
2016,"León, Sandy",111,"L",196,55,"28.1",".271",141,"71.9",".338"
2016,"Shaw, Travis",111,"L",512,176,"34.4",".268",336,"65.6",".340"
2016,"Hill, Aaron",111,"R",405,35,"8.6",".292",370,"91.4",".314"
2016,"Ortiz, David",111,"L",588,522,"88.8",".423",66,"11.2",".414"
2016,"Young, Chris",111,"R",224,68,"30.4",".282",156,"69.6",".407"
2016,"Rizzo, Anthony",112,"L",646,388,"60.1",".366",258,"39.9",".429"
2016,"Ross, David",112,"R",197,31,"15.7",".138",166,"84.3",".366"
2016,"Montero, Miguel",112,"L",267,52,"19.5",".303",215,"80.5",".298"
2016,"Soler, Jorge",112,"R",255,35,"13.7",".401",220,"86.3",".333"
2016,"Bryant, Kris",112,"R",679,263,"38.7",".375",416,"61.3",".407"
2016,"Báez, Javier",112,"R",432,96,"22.2",".329",336,"77.8",".316"
2016,"Zobrist, Ben",112,"L",451,53,"11.8",".333",398,"88.2",".362"
2016,"Heyward, Jason",112,"L",577,90,"15.6",".280",487,"84.4",".282"
2016,"Fowler, Dexter",112,"L",395,63,"15.9",".475",332,"84.1",".338"
2016,"Coghlan, Chris",112,"L",279,52,"18.6",".202",227,"81.4",".282"
2016,"Suárez, Eugenio",113,"R",617,70,"11.3",".262",547,"88.7",".320"
2016,"Schebler, Scott",113,"L",279,90,"32.3",".282",189,"67.7",".351"
2016,"Duvall, Adam",113,"R",599,125,"20.9",".327",474,"79.1",".335"
2016,"Votto, Joey",113,"L",643,197,"30.6",".417",446,"69.4",".415"
2016,"Santana, Carlos",114,"L",480,319,"66.5",".384",161,"33.5",".381"
2016,"Chisenhall, Lonnie",114,"L",407,27,"6.6",".357",380,"93.4",".319"
2016,"Napoli, Mike",114,"R",629,81,"12.9",".309",548,"87.1",".346"
2016,"Kipnis, Jason",114,"L",673,60,"8.9",".415",613,"91.1",".341"
2016,"Gomes, Yan",114,"R",260,24,"9.2",".345",236,"90.8",".205"
2016,"Santana, Carlos",114,"R",188,44,"23.4",".307",144,"76.6",".344"
2016,"Arenado, Nolan",115,"R",666,132,"19.8",".343",534,"80.2",".396"
2016,"González, Carlos",115,"L",614,297,"48.4",".337",317,"51.6",".379"
2016,"Reynolds, Mark",115,"R",432,114,"26.4",".258",318,"73.6",".377"
2016,"Story, Trevor",115,"R",407,46,"11.3",".407",361,"88.7",".371"
2016,"Avila, Alex",145,"L",206,135,"65.5",".297",71,"34.5",".394"
2016,"Frazier, Todd",145,"R",654,87,"13.3",".312",567,"86.7",".331"
2016,"Rollins, Jimmy",145,"L",137,73,"53.3",".195",64,"46.7",".261"
2016,"Abreu, José",145,"R",673,23,"3.4",".306",650,"96.6",".346"
2016,"Martinez, J.D.",116,"R",505,61,"12.1",".376",444,"87.9",".385"
2016,"Saltalamacchia, Jarrod",116,"L",212,137,"64.6",".289",75,"35.4",".282"
2016,"Castellanos, Nick",116,"R",439,38,"8.7",".367",401,"91.3",".344"
2016,"Martinez, Victor",116,"L",430,251,"58.4",".353",179,"41.6",".347"
2016,"Upton, Justin",116,"R",611,29,"4.7",".353",582,"95.3",".331"
2016,"Tucker, Preston",117,"L",136,63,"46.3",".279",73,"53.7",".219"
2016,"Rasmus, Colby",117,"L",403,299,"74.2",".275",104,"25.8",".273"
2016,"Gonzalez, Marwin",117,"L",320,42,"13.1",".289",278,"86.9",".280"
2016,"Castro, Jason",117,"L",367,183,"49.9",".246",184,"50.1",".338"
